resort_no,resort_name,atoll,atoll_code,island,rooms,beds,phone,fax,email,resort_phone,resort_fax,resort_email,operator,owner_lessee,management,state,status,join_candidates,coordinates,coordinate_count,source
53,Embudhu Village,Kaafu,K,Embudhu,118.0,236.0,"3322212
3318005",3318057,kaimoo@dhivehinet.net.mv,664 4776.,664 4776.,gm@embudhuvillage.com / sales@embudhuvillage.com.mv,"Kaimoo Travels & Hotels Services Pvt. Ltd.
H. Maagala, 
Meheli Goalhi
Male', Republic of Maldives","Kaimoo Travels & Hotels Services Pvt. Ltd.
H. Maagala, 
Meheli Goalhi
Male', Republic of Maldives",-,Operating,Operating,Embudhu,[],0,resorts.csv
54,Emerald Faarufushi Resort & Spa,Raa,R,Faarufushi,88.0,176.0,6582100,,gm@emerald-faarufushi.com,6588000,,info@emeraldmaldives-seana.com,"Fasmendhoo Pvt Ltd 
H. Aage, 6th Floor, 
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Fasmendhoo Pvt Ltd 
H. Aage, 6th Floor, 
12 Boduthakurufaanu Magu
Male', Republic of Maldives",,Operating,Operating,Faarufushi,[],0,resorts.csv
55,Emerald Maldives Resort & Spa Fasmendho,Raa,R,Fasmendhoo,143.0,286.0,6582100,-,gm@emerald-maldives.com,6582100,6582100,tscarapicchia@fasmendhoo.com / reservations@emerald-maldives.com,"Emil Resort Pvt Ltd 
H. Aage, 06th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Emil Resort Pvt Ltd
H. Aage, 06th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Seana S.R.L (FC)
C/O Shah Hussain & CO Barristers and Attorneys, 
H. Aage, 12 (6th Floor),
Boduthakurufaanu Magu, 
Male', Republic of Maldives",Operating,Operating,Fasmendhoo,[],0,resorts.csv
56,Eri Maldives,Kaafu,K,Eriyadhu,76.0,152.0,9130614,-,reservations@eriyadumaldives.com,6644487,6644487,reservations@eriyadumaldives.com,"Eri Holdings Pvt Ltd 
M. Kaneeru Villa, 4th Floor,
Orchid Magu, 
Male’, Republic of Maldives","Eri Holdings Pvt Ltd 
M. Kaneeru Villa, 4th Floor,
Orchid Magu, 
Male’, Republic of Maldives",-,Operating,Operating,Eriyadhu,[],0,resorts.csv
57,Fihaalhohi Maldives,Kaafu,K,Fihaalhohi,150.0,300.0,3006876,3006879,info@fehimoorithi.com,664 2903,664 2903,info@fihalhohi.com.mv,"Fehi Moorithi Pvt Ltd 
6th Floor, Moorithi Buiding 
Chaandhanee Magu
Male', Republic of Maldives","Fehi Moorithi Pvt Ltd 
6th Floor, Moorithi Buiding 
Chaandhanee Magu
Male' City, Republic of Maldives",,Operating,Operating,Fihaalhohi,[],0,resorts.csv
58,Filitheyo Island Resort,Faafu,F,Filitheyo,125.0,250.0,331 7373,332 1862,admin@aaa.com.mv,6740025,6740025,"project@aaa.com,mv","A.A.A. & Trading Company Pvt. Ltd.
G. Neem, Majeedhee Magu
Male', Republic of Maldives","A.A.A. & Trading Company Pvt. Ltd.
#17 & 19 Chaandhanee Magu
Male', Republic of Maldives",,Operating,Operating,Filitheyo,[],0,resorts.csv
59,Finolhu Baa Atoll Maldives,Baa,B,Kanufushi,168.0,336.0,3333644,3315453,dheena@shclawyers.com,6608800,6608800,stay@finolhu.mv,"Seaside Finolhu Maldives Pvt Ltd 
6th Floor, H. Aage'
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Seaside Finolhu Maldives Pvt Ltd 
6th Floor, H. Aage'
12 Boduthakurufaanu Magu
Male', Republic of Maldives",-,Operating,Operating,Kanufushi,[],0,resorts.csv
60,Four Seasons Private Island Maldives at Voavah,Baa,B,Voavah,11.0,26.0,6600888,6600800,gan@hplhotels.com,66 00 888,66 00 888,reservations.mal@fourseasons.com,"Landaa Giraavaru Pvt. Ltd. 
M. Lux Lodge, Level 2
Orchid Magu
Male’, Republic of Maldives","Landaa Giraavaru Pvt. Ltd. 
M. Lux Lodge, Level 2
Orchid Magu
Male’, Republic of Maldives","FS Kuda Huraa Hotel Management Pvt. Ltd.
Kuda Huraa, Kaafu Atoll
Republic of Maldives",Operating,Operating,Voavah,[],0,resorts.csv
61,Four Seasons Resort Maldives at Kuda Huraa,Kaafu,K,Kuda Huraa,112.0,224.0,6644888,6644888,reservations.maldives@four-seasons.com,9606600888,,RESERVATIONS.MAL@FOURSEASONS.COM,"Four Seasons Hotel & Resorts BVI
(On behalf ofHPL Resorts (Maldives) Pvt. Ltd. 
Aurora Building, 7th Floor, Stadhouderskade 2
1054 Es Amsterdam, Netherlands","HPL Resorts (Maldives) Private Limited.
M. Lux Lodge, 2nd Floor
Orchid Magu
Male', Republic of Maldives","Fs Kuda Huraa Hotel Management Pvt. Ltd. 
c/o Four Seasons Hotels and Resorts Asia Pacific Pte. Ltd, 1 Orchard Sprig Lane #04-01, Tourism Court, Singapore 247729",Operating,Operating,Kuda Huraa,[],0,resorts.csv
62,Four Seasons Resort Maldives at Landaa Giraavaru,Baa,B,Landaa Giraavaru,145.0,290.0,3330888,"0065 6738 8379
660 0700",reservations.mal@fourseasons.com,6600888,6600888,reservations.mal@fourseasons.com,"Landaa Giraavaru Pvt Ltd (FC)
H. #02-1, Millennia Tower, 
Male', Republic of Maldives","Landaa Giraavaru Pvt Ltd (FC)
H. #02-1, Millennia Tower, 
Male', Republic of Maldives","FS Kuda Huraa Hotel Management Pvt Ltd 
Kuda Huraa, Kaafu Atoll
Republic of Maldives",Operating,Operating,Landaa Giraavaru,[],0,resorts.csv
63,Furaveri Maldives,Raa,R,Furaveri,171.0,342.0,3317315,3317723,cfo@furaveri.com,6581111,6581111,reservations@furaveri.com,"NAID Investments Pvt Ltd 
M. Newton, 3rd Floor
Dhanbu Goalhi
Male', Republic of Maldives","Ahmed Ibrahim Didi 
Ma. Niyazvilla, 10th Floor
Buruzumagu
Male', Rep. of Maldives",-,Operating,Operating,Furaveri,[],0,resorts.csv
64,Fushifaru Maldives,Lhaviyani,Lh,Fushifaru,63.0,126.0,3331512,3331513,info@fushifaru.com,6620202,6620303,reservations@fushifaru.com,"Fushifaru Investments Pvt Ltd 
M. Loobiya, 4th Floor
Ameenee Magu
Male', Republic of Maldives","Fushifaru Investments Pvt Ltd
M. Loobiya, 4th Floor
Ameenee Magu
Male', Republic of Maldives",,Operating,Operating,Fushifaru,[],0,resorts.csv
65,Gangehi Island Resort,Alifu Alifu,AA,Gangehi,36.0,72.0,332 9013,332 9014,info@gangehi.com / info@fushifaru.com,666-0505,666-0505,info@gangehi.com / info@fushifaru.com,"Noomadi Resorts Pvt. Ltd.
H. East Light, No.4/A, 4th floor, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Gangehi Invesments Pvt Ltd
H. Dhonveli Thundi, Ground Floor, 
Dhunbugas Magu, 
Male', Republic of Maldives",-,Operating,Operating,Gangehi,[],0,resorts.csv
66,Gili Lankanfushi,Kaafu,K,Lankanfushi,49.0,98.0,3336663,,promus@sonevagili.com.mv,664-0304,664-0304,mr.friday@gili-lankanfushi.com,"Promus Pvt. Ltd.
2nd Floor, 3/4 Faamudheyri Magu
Male', Republic of Maldives","Transco Pvt Ltd
2nd Floor, H. Marvel
Male', Republic of Maldives",,Operating,Operating,Lankanfushi,[],0,resorts.csv
67,Grand Park Kodhipparu Maldives,Kaafu,K,Kodhipparu,125.0,250.0,6651111,6651122,"info@parkhotelgroup.com
raffaele.solferino@parkhotelgroup.com",665 1111,,info.gpkd@parkhotelgroup.com,"CES Park Kodhipparu Pvt Ltd 
H. Aage, 6th Floor
Male', Republic of Maldives","CES Park Kodhipparu Pvt Ltd
H. Aage, 6th Floor
Male', Republic of Maldives",,Operating,Operating,Kodhipparu,[],0,resorts.csv
68,Hard Rock Hotel Maldives,Kaafu,K,Akasdhoo,197.0,394.0,+9606651400,,rsvn@hrhmaldives.com,6551400,6551400,info@hrhmaldives.com,"Dream Islands Development 2 Pvt. Ltd. 
H. #02-01, Millennia Tower, 10 Ameer Ahmed Magu, Male', Republic of Maldives","Dream Islands Development 2 Pvt. Ltd. 
H. #02-01, Millennia Tower, 10 Ameer Ahmed Magu, Male', Republic of Maldives",,Operating,Operating,Akasdhoo,[],0,resorts.csv
69,Heritance Aarah,Raa,R,Aarah,158.0,316.0,6580222,,mahdy@aitkenspence.lk,6580222,6580222,mahdy@aitkenspence.lk,"Cowrie Investment Pvt Ltd 
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Cowrie Investment Pvt Ltd 
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives",-,Operating,Operating,Aarah,[],0,resorts.csv
70,Hilton Maldives Amingiri Resort & Spa,Kaafu,K,Kohdhipparu Lagoon,132.0,264.0,7776789,,nihad@amin.mv,7300500,7300500,gaurav.thakur@hilton.com,"Amingiri Holdings Pvt Ltd 
M. World Dream, 2nd Floor
Handhuvaree Hingun
Male', Republic of Maldives","Amingiri Holdings Pvt Ltd 
M. World Dream, 2nd Floor
Handhuvaree Hingun
Male', Republic of Maldives","Hilton Worldwide Management Ltd 
Maple Court, Central Park, Reeds Crescent, Watford WD244QQ, England",Operating,Operating,Kohdhipparu,[],0,resorts.csv
71,Holiday Inn Resort Kandooma Maldives,Kaafu,K,Kandoomafushi,162.0,324.0,3314377,3314378,sales.hikandooma@ihg.com / reservations.hikandooma@ihg.com,6640511,6640511,sales.hikandooma@ihg.com / reservations.hikandooma@ihg.com,"Leisure Holidays Pvt Ltd
H. Millennia Tower, #02-01, 10 
Ameer Ahmed Magu, 20026, 
Male', Republic ofMaldives","Kandooma Holdings Pvt Ltd 
H. Aagadhage Building, 5th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Intercontinental Hotels Group (Greater China) Ltd 
Level 54, Hopewell Centre, 
Hong Kong, 183 Queens Road East, China",Operating,Operating,Kandoomafushi,[],0,resorts.csv
72,Hondaafushi Island Resort,Haa Dhaalu,HDh,Hondaafushi,57.0,114.0,3317373,3316016,sales@aaa.com.mv,674-0025,674-0025,hondaafushi@aaa.com.mv,"Hondaafushi Island Resort (SP)
Mr. Abdulla Ali 
M. Three A Villa
Fareedhee Magu
Male', Republic of Maldives","Mr. Abdulla Ali
M. Three A Villa
Fareedhee Magu
Male', Republic of Maldives",-,Operating,Operating,Hondaafushi,[],0,resorts.csv
73,Hurawalhi Island Resort,Lhaviyani,Lh,Huravalhi,90.0,180.0,3326545,3326544,md@champabrothers.com,6622000,,reservations@hurawalhi.com,"Champalars Holdings Pvt Ltd 
M. Champa Building, 4th Floor
Kani Dhonmaniku Goalhi
Male', Republic of Maldives","Champalars Holdings Pvt Ltd 
M. Champa Building, 4th Floor
Kani Dhonmaniku Goalhi
Male', Republic of Maldives",,Operating,Operating,Huravalhi,[],0,resorts.csv
74,Huvafenfushi Maldives,Kaafu,K,Nakatchafushi,51.0,102.0,3323080,3320274,stay@huvafenfushi.com,6644222,6644222,stay@huvafenfushi.com / www.huvafenfushi.com,"Nakatchafushi Holdings Pvt. Ltd.  
H. 39, Orchid Magu
Male', Republic of Maldives","Nakatchafushi Holdings Pvt. Ltd.
H. 39, Orchid Magu
Male', Republic of Maldivesv","Nakatchafushi Holdings Pvt. Ltd. 
H. 39, Orchid Magu
Male', Republic of Maldives",Operating,Operating,Nakatchafushi,[],0,resorts.csv
75,Inter Continental Maldives Maamunagau,Raa,R,Maamunagau,97.0,194.0,657345250 / 6580500,,gan@hplhotels.com / james.sutcliffe@ihg.com,6580500,,reservations.icmaldives@ihg.com,"Leisure Horizons Pvt Ltd 
M. Lux Lodge (2nd Floor) 
Orchid Magu 
Male', Republic of Maldives","Leisure Horizons Pvt Ltd 
M. Lux Lodge (2nd Floor) 
Orchid Magu 
Male', Republic of Maldives","Inter Continental Hotels Group (Greater China) Ltd
230 Victoria Street, # 13-00
Bugis Junction Tower
Singapore 188024",Operating,Operating,Maamunagau,[],0,resorts.csv
76,JA Manafaru,Haa Alifu,HA,Manafaru,88.0,176.0,3344720,3344721,william.harleyfleming@dutco.com,6500400,6500400,vlsd.reyes@jaresorts.com,"Jarh Maldives Pvt Ltd 
Marina Building, 7th Floor
Koli Umar Maniku Goalhi
Male', Republic of Maldives","Jarh Maldives Pvt Ltd 
Marina Building, 7th Floor
Koli Umar Maniku Goalhi
Male', Republic of Maldives",,Operating,Operating,Manafaru,[],0,resorts.csv
77,Joali Being Bodufushi,Raa,R,Bodufushi,85.0,170.0,3005551,,masoodh@momentum.com.mv,6583100,,info.being@joali.com,"Ali Bey Maldives Pvt Ltd
Ma. MF Building, 3rd Floor
Chaandhanee Magu
Male', Republic of Maldives","Ali Bey Maldives Pvt Ltd 
Ma. MF Building, 3rd Floor
Chaandhanee Magu
Male', Republic of Maldives",,Operating,Operating,Bodufushi,[],0,resorts.csv
78,Joali Muravandhoo,Raa,R,Muravandhoo,80.0,160.0,3305515,,pa@momentum.com.mv,6584400,6584404,masoodh@momentum.com.mv,"Ali Bey Maldives Pvt Ltd 
Ma. MF Building, 3rd Floor
Chaandhanee Magu
Male', Republic of Maldives","Ali Bey Maldives Pvt Ltd
Ma. MF Building, 3rd Floor
Chaandhanee Magu
Male', Republic of Maldives",,Operating,Operating,Muravandhoo,[],0,resorts.csv
79,Joy Island,Kaafu,K,Island 1 Plot of Lagoon,153.0,306.0,6626888 / 6649966 / 3016888,,"booking@cocoonmaldives.com
info@cocoonmaldives.com",6626888,6626888,alex@cocoonmaldives.com; akbar@akbar.com,"Joy Resort Pvt Ltd 
H. Sonary, 2nd Floor,
Boduthakurufaanu Magu,
Male', Republic of Maldives","AB Lagoon Pvt Ltd
H. Sonary, 2nd Floor,
Boduthakurufaanu Magu,
Male', Republic of Maldives",,Operating,Operating,,[],0,resorts.csv
80,Jumeirah Maldives Olhahali Island,Kaafu,K,Olhahali,91.0,182.0,"7731865
7951795",-,"lamaan@sandalawyers.com
sama@sandalawyers.com",6682600,-,reservations.jmh@jumeirah.com,"Grand Meridian Pvt Ltd 
H. #04-01, Millennia Tower,
10 Ameer Ahmed Magu,
Male', Republic of Maldives","Trifidus Investments Pvt Ltd 
M. Kaneeru Villa, 6th Floor,
Orchid Magu,
Male', Republic of Maldives","Maldives 1 Hospitality Pvt Ltd 
H. Millenia Tower, #02-01,
10 Ameer Ahmed Magu,
Male', Republic of Maldives",Operating,Operating,Olhahali,[],0,resorts.csv
81,JW Marriott Kaafu Atoll Island Resort,Kaafu,K,Hathaafinolhu,86.0,172.0,3005515,-,Ibrahim.ishfaaq@momentum.com.mv,665-6666,665-6666,https://www.marriott.com/en-us/hotels/mlejm-jw-marriott-maldives-kaafu-atoll-island-resort/overview/,"Bayswater Maldives Pvt Ltd
M. Faamdheyrige Building, 5th floor, Unit C, 
Orchid Magu, 
Male', Republic of Maldives","Bayswater Maldives Pvt Ltd
M. Faamdheyrige Building, 5th floor, Unit C, 
Orchid Magu, 
Male', Republic of Maldives","Marriott Hotels Maldives Pvt Ltd 
H. Millennia Tower, #04-01, 
10 Ameer Ahmed Magu, 
Male', Republic of Maldives",Operating,Operating,Hathaafinolhu,[],0,resorts.csv
82,JW Marriott Maldives Resort & Spa,Shaviyani,Sh,Vagaru,73.0,146.0,3006966,3006696,"lamaan@suoodanwar.com
shahdy@suoodanwar.com",6545555,6545555,jw.mlejs.rsvn@marriothotels.com,"Bon Free Private Limited
H. Aage, Boduthakurufaanu Magu
Male', Republic of Maldives
www.viceroyhotelsandresorts.com","Bon Free Private Limited
H. Aage, Boduthakurufaanu Magu
Male', Republic of Maldives
www.viceroyhotelsandresorts.com","Marriott Hotels Maldives Pvt Ltd 
H. Orchidmaage, 1st Floor
Ameer Ahmed Magu
Male', Republic of Maldives",Operating,Operating,Vagaru,[],0,resorts.csv
83,Kagi Maldives Resort and Spa,Kaafu,K,Kagi,50.0,100.0,3326712,-,cfo@champaresorts.com,6640123,6640123,info@kagimaldives.com,"Kagi Development Pvt Ltd 
Champa Building, 3rd Floor
Kandi Dhon Maniku Goalhi
Male', Republic of Maldives","Kagi Development Pvt Ltd
Champa Building, 3rd Floor
Kandi Dhon Maniku Goalhi
Male', Republic of Maldives",,Operating,Operating,Kagi,[],0,resorts.csv
84,Kandima Maldives,Dhaalu,Dh,Kadinma,272.0,544.0,7980082,,imdad.mohamed@pulseresorts.com,676 0077,676 0077,mykindofplace@kandima.com,"Kandinma Holdings Pvt Ltd 
M. Kaneeru Villa, 04th Floor
Orchid Magu
Male', Republic of Maldives","Kandinma Holdings Pvt Ltd 
M. Kaneeru Villa, 04th Floor
Orchid Magu
Male', Republic of Maldives",,Operating,Operating,Kadinma,[],0,resorts.csv
85,Kandolhu Maldives,Alifu Alifu,AA,Kandholhudhoo,30.0,60.0,"6680789 / 6680790
3323080","6680788
3333618",www.kandholhu.com,668 0790,668 0790,info@kandolhu.com,"Kandholhudhoo Holdings Pvt Ltd 
39 Orchid Magu, 
Male', Republic of Maldives","Kandholhudhoo Island Investments Pvt. Ltd. 
39 Orchid Magu,
Male', Republic of Maldives",-,Operating,Operating,Kandholhudhoo,[],0,resorts.csv
86,Komandoo Island Resort,Lhaviyani,Lh,Komandoo,65.0,130.0,662 1010,"39064706396
332 6544",main@ctnt.com,662 1010,662 1010,reservations@komandoo.com,"Komandoo Holdings Pvt. Ltd. 
CHP-3
Kandi Dhon Manik Goalhi
Male', Republic of Maldives","Komandoo Holdings Pvt. Ltd.
CHP-3
Kandi Dhon Manik Goalhi
Male', Republic of Maldives",,Operating,Operating,Komandoo,[],0,resorts.csv
87,Kuda Villingili Resort Maldives,Kaafu,K,Kudavillingili,99.0,198.0,3322660,,nahiz.ali@mfarhotels.com,4000900,,reservations@kudavillingili.com,"MFAR Kudavillingili Pvt Ltd 
H. Magma, 3rd Floor, 
Nasheed & Co LLP,
Sikka Goalhi, 
Male', Republic of Maldives","MFAR Kudavillingili Pvt Ltd 
H. Magma, 3rd Floor, 
Nasheed & Co LLP,
Sikka Goalhi, 
Male', Republic of Maldives",-,Operating,Operating,Kudavillingili,[],0,resorts.csv
88,Kudadoo Maldives Private island,Lhaviyani,Lh,Kudadhoo,17.0,34.0,3386545,3326544,aslam@ctnt.com,6622000,6622000,reservations@kudadoo.com,"Champalars Holdings Pvt Ltd
M. Champa Building, 4th Floor
Kandi Dhonmaniku Goalhi
Male', Republic of Maldives","Champalars Holdings Pvt Ltd
M. Champa Building, 4th Floor
Kani Dhonmaniku Goalhi
Male', Republic of Maldives",-,Operating,Operating,Kudadhoo,[],0,resorts.csv
89,Kudafushi Resort & Spa,Raa,R,Kudafushi,107.0,214.0,658-0080,,reservations@kudafushiresort.com,7774982,7774982,ali@abnmaldives.com,"Silver Drift Maldives Pvt Ltd
H. Eggamuge Aage, 
Karankaa Magu, 
Male', Republic of Maldives","Ali Zahir 
H. Iruvelige
Moonimaa Hingun
Male', Republic of Maldives",-,Operating,Operating,Kudafushi,[],0,resorts.csv
90,Kuredhivaru Resort and Spa,Noonu,N,Kuredhivaru,111.0,222.0,3322999,,"m.gruszecki@zenresorts.site
r.rahman@zenresort.site",656-3000,656-3000,Resort.Kuredhivaru.Reservations@movenpick.com,"Zen Resort Pvt. Ltd 
H. Dhoorihaa, 5th floor, 5B, 
Kalaafaanu Hingun, 
Male', Republic of Maldives","Zen Resort Pvt. Ltd
H. Dhoorihaa, 5th floor, 5B, 
Kalaafaanu Hingun, 
Male', Republic of Maldives",-,Operating,Operating,Kuredhivaru,[],0,resorts.csv
91,Kuredu Island Resort,Lhaviyani,Lh,Kuredu,389.0,778.0,3326545,3326544,main@ctnt.com,662-0337,662-0337,info@kuredu.com / reservations@kuredu.com,"Kuredhu Holdings (Pvt) Ltd. 
M. Champa Building, 4th Floor, Kandidhonmaniku Goalhi, Male', Republic ofMaldives","Kuredhu Holdings (Pvt) Ltd. 
M. Champa Building, 4th Floor, Kandidhonmaniku Goalhi, Male', Republic ofMaldives",,Operating,Operating,Kuredu,[],0,resorts.csv
92,Kurumba Maldives,Kaafu,K,Vihamanaafushi,181.0,362.0,3323080,3333618,kurumba@kurumba.com.mv,6643885,,kurumba@kurumba.com,"Vihamanaafushi Holdings Pvt Ltd (C-0448/2011)
39, Orchid Magu
Male'City, Republic of Maldives","Mr. Mohamed Umar Manik  (A053530)
M. Rukkara
Male', Republic of Maldives",,Operating,Operating,Vihamanaafushi,[],0,resorts.csv
93,Le Méridien Maldives Resort and Spa,Lhaviyani,Lh,Thilamaafushi and Bodufinolhu,157.0,314.0,3346439,,philip@asters.com.mv,4008888,4008888,reservations.maldives@lemeridien.com,"CT At Thilamaafushi Pvt Ltd 
H. Asters Building
Ameer Ahmed Magu
Male', Republic of Maldives","CT At Thilamaafushi Pvt Ltd 
H. Asters Building
Ameer Ahmed Magu
Male', Republic of Maldives","Marriott Hotels Maldives Pvt Ltd
H. Millenia Tower, #04-01
10 Ameer Ahmed Magu
Male', Republic of Maldives",Operating,Operating,Thilamaafushi|Bodufinolhu,[],0,resorts.csv
94,Lily Beach Resort,Alifu Dhaalu,ADh,Huvahendhoo,125.0,250.0,331 7464,331 7466,"admin@lilyhotels.com

Website: www.lilybeachmaldives.com",6680013,6680013,admin@lilyhotels.com,"Lily Hotels Pvt. Ltd. 
H. Fasmeeru Building, 2nd Floor,
Boduthakurufaanu Magu,
Male', Republic of Maldives","Lily Hotels Pvt. Ltd. 
H. Fasmeeru Building, 2nd Floor,
Boduthakurufaanu Magu,
Male', Republic of Maldives",-,Operating,Operating,Huvahendhoo,[],0,resorts.csv
95,"Lux* South Ari Atoll, Maldives",Alifu Dhaalu,ADh,Dhidhdhoofinolhu,193.0,386.0,331 2204,331 7508,reservation@luxresorts.com / stay@luxmaldivesresort.com,668-0901,668-0901,reservation@luxresorts.com / stay@luxmaldivesresort.com,"White Sands Resort and Spa Pvt Ltd
Jazeera Building, 5th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Ari Beach Co Pvt Ltd
M.Kinbidhooge
Izzudheen Magu
Male', Republic of Maldives",,Operating,Operating,Dhidhdhoofinolhu,[],0,resorts.csv
96,Maayafushi Tourist Resort,Alifu Alifu,AA,Maayafushi,75.0,150.0,3323214,3322516,manager.maleoffice@nakairesorts.com,6660588,6660588,maayafushi@nakairesorts.com / reservations@maayafushi.com,"Maayafushi Resort Management Pvt Ltd 
M. Omadu Fanu Building, 2nd Floor 
Haveeree Hingun
Male', Republic of Maldives","I.R.T.S Private Limited
M.Omadu Fanu Building, 2nd Floor
Haveeree Hingun
Male', Republic of Maldives",,Operating,Operating,Maayafushi,[],0,resorts.csv
97,Mabinhura by Jawakara Islands Maldives,Lhaviyani,Lh,Maabinhuraa,212.0,424.0,7785035,,aslam@ctnt.com,6629999,6629999,reservations@jawakara.com / https://jawakara.com/,"Kuredu Holdings Private Limited 
M. Champa Building, 4th Floor
Kandidhonmaniku Goalhi 
Male', Republic of Maldives","Kuredu Holdings Private Limited 
M. Champa Building, 4th Floor
Kandidhonmaniku Goalhi 
Male', Republic of Maldives",,Operating,Operating,Maabinhuraa,[],0,resorts.csv
98,"Machchafushi Island Resort & Spa Maldives, The Centara Collection",Alifu Dhaalu,ADh,Machchafushi,112.0,224.0,"330 6566
 333 3644","331 5453
332 3463",ahrdcirm@chr.co.th,668 8000,668 8000,cirm@chr.co.th,"R.M.L Leisure Pvt. Ltd.
c/o Shah, Hussain & Co.
2nd Floor, (West Wing) H. Aage
12, Boduthakurufaanu Magu
Male', Republic of Maldives","Sioux Investment Pvt. Ltd.
2nd Floor, Filla Building 
Boduthakurufaanu Magu
Male', Republic of Maldives","Centara International Management Co, Ltd
 (manager since 11th Oct 2009)",Operating,Operating,Machchafushi,[],0,resorts.csv
99,Madifushi Private Island,Meemu,M,Madifushi,88.0,174.0,6720000,,stay@madifushiprivateisland.com,6720000,,stay@madifushiprivateisland.com,"Maldives Inflight Catering Pte Ltd
Velana International Airport
Hulhule' 22000, Republic of Maldives","Maldives Inflight Catering Pte Ltd
Velana International Airport
Hulhule' 22000, Republic of Maldives",,Operating,Operating,Madifushi,[],0,resorts.csv
100,Makunudu Island,Kaafu,K,Makunudhoo,36.0,72.0,3324658,3325543,sunland@dhivehinet.net.mv,664 6464,664 6464,info@makunudu.com,"Sunland Travel (Pvt) Ltd.
G.Shafaq,7th Floor
Rah Dhebai Magu
Male', Republic of Maldives","Sunland Travels (Pvt) Ltd.
H.Millenia
Ameeru Ahmed Magu
Male', Republic of Maldives
sunland@dhivehinet.net.mv",,Operating,Operating,Makunudhoo,[],0,resorts.csv
101,Malahini Kuda Bandos,Kaafu,K,Kuda Bandos,82.0,164.0,6644556,,social@malahini.mv,6644556,6644556,reservations@malahini.mv,"Malahini Holdings Pvt Ltd 
H. Jazeera, 03rd Floor, No. 15
Boduthakurufaanu Magu
Male', Republic of Maldives","Malahini Holdings Pvt Ltd 
H. Jazeera, 03rd Floor, No. 15
Boduthakurufaanu Magu
Male', Republic of Maldives",,Operating,Operating,Kuda Bandos,[],0,resorts.csv
102,Medhufushi Island Resort,Meemu,M,Medhufushi,120.0,240.0,7785861 / 6720026,-,ereservations@aaaresorts.com,6720026,6720026,info@medhufushiisland.com / reservations@medhufushiisland.com,"Medhufushi Investment Pvt Ltd 
G. Neem, 
Majeedhee Magu, 
Male', Republic of Maldives","Medhufushi Investment Pvt Ltd 
G. Neem, 
Majeedhee Magu, 
Male', Republic of Maldives",-,Operating,Operating,Medhufushi,[],0,resorts.csv
103,Meeru Maldives Resort Island,Kaafu,K,Meerufenfushi,284.0,568.0,3314149,3314150,"cfo@champaresorts.com
reservations@meeru.com",6645946,6645946,reservations@meeru.com,"KASA Holdings Pvt. Ltd.
M. Champa Building, 3rd Floor
Kandi Dhonmaniku Goalhi
Male', Republic of Maldives","KASA Holdings Pvt. Ltd.
M. Champa Building, 3rd Floor
Kandi Dhonmaniku Goalhi
Male', Republic of Maldives",-,Operating,Operating,Meerufenfushi,[],0,resorts.csv
104,Melia Whale Lagoon Maldives,Alifu Dhaalu,ADh,Bodufinolhu,100.0,200.0,7797779 /  3013200,Website: https://www.melia.com/,shahdy@sandalawyers.com,6683000,6683000,reservations.meliawhalelagoon@melia.com,"ASB Hotel Properties Maldives Pvt Ltd 
H. #02-01, Millennia Tower, #02-001
Ameer Ahmed Magu
Male', Republic of Maldives","ASB Hotel Properties Maldives Pvt Ltd 
H. #02-01, Millennia Tower, #02-001
Ameer Ahmed Magu
Male', Republic of Maldives",-,Operating,Operating,Bodufinolhu,[],0,resorts.csv
105,Meyyafushi Maldives,Lhaviyani,Lh,Meyyafushi,88.0,176.0,3331512 / 3331513,Website: www.meyyafushi.com,info@muni.com.mv,6620303,6620303,info@meyyafushi.com,"Meyyafushi Investments Private Limited
M. Loobiya , 5th Floor,
Ameenee Magu, 
Male', Republic of Maldives","Meyyafushi Investments Private Limited
M. Loobiya , 5th Floor,
Ameenee Magu, 
Male', Republic of Maldives",-,Operating,Operating,Meyyafushi,[],0,resorts.csv
106,Milaidhoo Island Maldives,Baa,B,Milaidhoo,50.0,100.0,3323080,3320274,iyaz.waheed@universalenterprises.com,660 77 88,,welcome@milaidhoo.com,"Universal Enterprises Pvt Ltd 
39, Orchid Magu
Male', Republic of Maldives","Universal Enterprises Pvt Ltd 
39, Orchid Magu
K.Male', Republic of Maldives",,Operating,Operating,Milaidhoo,[],0,resorts.csv
107,Nala Maldives by Jawakara,Lhaviyani,Lh,Innahuraa,42.0,84.0,6623434 / 7292415,Website:  www.jawakara.com,reservations@jawakara.com,6620000,6620000,reservations@jawakara.com,"Champalars Holdings Pvt Ltd 
M. Champa Building, 4th Floor, 
Male', Republic of Maldives","Champalars Holdings Pvt Ltd 
M. Champa Building, 4th Floor, 
Male', Republic of Maldives",-,Operating,Operating,Innahuraa,[],0,resorts.csv
